Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Vote
2.0,357.89555321430396,52131.7119206714,7.0,119.29851773810101,1.0,436.985411965615,1.0,0.0,1.0,0.110681375488639,0.305767778307199,475.877730874345,4.33142515365034,34.5455256523564,5.926,4074.0,66.66811001487079,379.956900557564,5129.76792077128,50464.4927233172,1.0,190956.250270758,19.4924831808973,144.341259601867,49.8356483411044,14361.4348522462,70.0,1.0,1.0,660.4247229004701,11.0,1.0,2.0,549.529942404202,0.0,1.0,7.0
8.0,930.160677796905,160077.986808465,1.0,310.053559265635,1.0,516.291402000389,0.0,0.0,1.0,0.742883484344929,0.769815132021904,281.08459082432097,1.7592270462773703,23.099062964320197,7.843999999999999,6156.0,32.8805258730426,311.241581952542,5785.39718390897,42843.7770468885,2.0,266556.811779527,17.6420401867965,214.894823189456,83.5739770671353,96453.2631725542,90.0,0.0,2.0,531.039969537295,11.0,3.0,2.0,398.58681115993596,1.0,1.0,12.0
10.0,,15772.728627799399,7.0,188.468716525975,0.0,83.6888419390578,1.0,0.0,1.0,0.9007166733499621,0.0472753050271422,899.921499658376,6.81174055440351,5.78819930087775,8.043,7957.0,6.57638181000948,293.162305606529,1423.2130306036402,27760.571638452402,0.0,7003.82226510059,17.1219831096322,596.992399015855,83.568706526421,35718.9258254742,70.0,1.0,2.0,334.929673956436,13.0,1.0,0.0,125.429429433309,1.0,1.0,4.0
9.0,513.997662673019,92503.4635456351,7.0,171.33255422434,0.0,539.9059388591901,0.0,1.0,0.0,0.664393212413415,0.637628589291126,10.4461980517954,7.14916781522334,42.2372368630022,0.131,9869.0,26.253724680282197,465.289846849771,6329.63908229144,58387.640491510996,0.0,291498.422815423,21.5705782687848,56.9549744497111,70.0187553651631,29536.1766912606,70.0,0.0,2.0,733.317799157738,7.0,1.0,0.0,521.13268621405,0.0,0.0,11.0
3.0,683.5342342911409,101704.77097028,4.0,227.84474476371398,1.0,446.377514986149,1.0,0.0,0.0,0.0230880090966821,0.23069934290833802,831.788825569674,9.266912657767529,79.4178094249219,0.0169999999999995,9983.0,82.96035537496209,415.10274175482596,5293.98063337114,52673.901022300306,1.0,199252.88588521,20.3740703286021,101.744614255537,77.5126634398475,52151.07246120559,80.0,2.0,2.0,676.431608798604,14.0,0.0,1.0,516.4027794412921,0.0,1.0,7.0
9.0,499.225331660457,102516.68667470099,4.0,166.408443886819,0.0,616.054596030153,0.0,1.0,0.0,0.504294218029827,0.5115796381141989,213.13097816892,1.9006114942021697,51.26718129031361,12.011,3989.0,8.32646638154984,718.957322190585,7598.4606046827,84898.0127758599,0.0,379523.265289875,26.8133795369138,341.624794111213,5.06379972212017,27868.178640719398,80.0,1.0,2.0,1076.24311192455,14.0,0.0,2.0,735.152124700022,1.0,0.0,9.0
8.0,257.013959557869,27034.2675799997,7.0,85.671319852623,0.0,315.55796766649297,1.0,1.0,1.0,0.8505431364756079,0.8877969104796651,991.3886017166079,5.661903356667611,26.908202609047297,4.2780000000000005,5722.0,65.498759271577,500.553877677825,4156.68743202058,60860.6756268445,0.0,99576.83095780721,22.3730614283746,252.074553905175,78.74912964180109,7435.246365143051,70.0,0.0,0.0,817.9647206394769,13.0,1.0,0.0,671.82086792557,1.0,0.0,2.0
6.0,555.9034578394551,133707.33318943,1.0,185.301152613152,1.0,721.5677361088369,0.0,1.0,1.0,0.500251966761425,0.865171152399853,875.448471866548,4.535226773004981,18.0772880790755,7.242000000000001,8758.0,39.4167770398781,809.359050189247,8834.395461466871,93479.18913598891,2.0,520659.99779323203,28.449236372691,437.461638737641,27.6865712599829,34531.8183123757,90.0,1.0,1.0,1158.4889102377,15.0,2.0,1.0,715.817982912995,1.0,0.0,10.0
4.0,287.643314713175,28258.5224156962,0.0,95.88110490439149,1.0,294.724622164861,1.0,1.0,1.0,0.29700111760757897,0.8494789095129821,160.97255959175502,6.01760076591745,69.51660613995051,2.924,7076.0,81.038269167766,315.875380436562,3578.99698252174,42331.344102253104,0.0,86862.6029102201,17.7728832899044,276.79190916882703,13.124773115851,9299.067382591329,100.0,1.0,0.0,575.73845875125,10.0,0.0,2.0,523.956308283715,0.0,1.0,11.0
9.0,727.526670869695,96200.6699039709,1.0,242.508890289898,0.0,396.689250398084,1.0,0.0,1.0,0.6668306351639329,0.34189482638612395,570.78923820518,6.3499020668677995,74.0230260882527,3.986,,19.498142646625602,405.039088736648,4776.97068145413,51167.6169673361,1.0,157362.361381393,20.125582941536102,142.13851987694702,15.064947796054199,59063.0707599279,90.0,1.0,1.0,665.525248634027,14.0,2.0,3.0,522.642287462472,0.0,1.0,7.0
1.0,2294.10406561818,225988.394855425,0.0,764.7013552060589,0.0,295.525035122409,1.0,0.0,0.0,0.6269125582184639,0.40998653322458295,68.3567675296217,6.4310443378053606,87.46328942943359,5.768,8232.0,71.1424701381475,854.213214712217,4663.6767806485295,84561.0301054548,0.0,87335.0463841013,29.226926193361802,409.202995326071,51.5665073180571,585542.86400919,100.0,2.0,3.0,1041.8236865662,14.0,3.0,3.0,486.95857962593396,0.0,0.0,0.0
10.0,157.41558388046002,14576.4628850221,7.0,52.4718612934865,0.0,277.795803802208,1.0,1.0,0.0,0.6404863765928891,0.8737341356463729,167.788282036781,1.60897083114833,46.874512592330596,4.4719999999999995,5528.0,77.03063294757159,280.910141688436,3339.77832139895,39034.725878965495,1.0,77170.5086101149,16.760374151206697,312.398475728838,68.142006220296,2815.7680888963696,70.0,0.0,3.0,,8.0,1.0,0.0,514.7559077936099,0.0,0.0,11.0
