,Title
0,"Data from 800,000 user accounts stolen in Orange.fr hack"
1,China's web giants unite to defuse Windows XP bombshell • The Register
2,"Mt. Gox, once the world’s largest Bitcoin exchange, shuts down | Ars Technica"
3,Netflix is paying Comcast for direct connection to network | Ars Technica
4,"UPDATE 1-Netflix may need to pay AT&T, Verizon for faster speeds"
5,Suspected Hacker Group Creates Network of Fake LinkedIn Profiles | Secureworks
6,"Zeus variant targets Salesforce.com accounts, SaaS applications | ZDNet"
7,Wall St. Is Told to Tighten Digital Security of Partners - The New York Times
8,MasterCard program will protect credit card purchases using your smartphone's location - The Verge
9,Researchers blow past all protections in Microsoft's EMET anti-exploitation tool | PCWorld
10,Security Alert: New and Cheap Stampado Ransomware for Sale on the Dark Web
11,Report: Verizon Uncovers Two More Retail Breaches After Huge Target Hack | Fox Business
12,360 million newly stolen credentials on black market: cybersecurity firm
13,Oklahoma DPS and Bank Security Exposure - Blog - MacKeeper™
14,Data Breach Cuts Into Target's 4Q Profit | Fox Business
15,Blue Coat to Deliver Transformative Security Solution With HP to Combat Advanced Targeted Attacks
16,Google will start teaching people how to build their own smartphone parts this April - The Verge
17,CrowdStrike Inc. Partners with IBM to Launch Advanced Cyber Threat Intelligence Service - MarketWatch
18,Proofpoint Joins IBM Security Intelligence Partner Program - MarketWatch
19,TCP Flaw in Linux Extends to 80 Percent of Android Devices | Threatpost | The first stop for security news
20,OpenID Attribute Exchange flaw - Help Net Security
21,Sally Beauty Hit By Credit Card Breach — Krebs on Security
22,Exploits for Two-Year-Old PHP Security Vulnerability Found | Threatpost | The first stop for security news
23,Personal info of 1.1M customers stolen in CareFirst breach - Help Net Security
24,SQL Attack Results in Breach of Telstra Telecom Pacnet | Threatpost | The first stop for security news
25,Domain registrar Enom suffers DNS attack targeting ‘large Internet infrastructure companies’ – GeekWire
26,AT&T blames U-verse Internet outage on 'web hosting service issue' | FierceCable
27,Virus gives hackers access to 15 Israeli computers - UPI.com
28,"First Android Bootkit Found on Over 350,000 Mobile Devices"
29,"Bitcoin exchange CEO arrested for money laundering - Jan. 27, 2014"
30,Named Data Networking (NDN) - A Future Internet Architecture
31,China Halts Implementation of Banking-Technology Rules - WSJ
32,Website for children's group defaced by MECA hackers
33,Without a Trace: Fileless Malware Spotted in the Wild - TrendLabs Security Intelligence Blog
34,"Kremlin hackers exploited TWO 0-day Flash, Windows vulns • The Register"
35,A black market is selling access to hacked government servers for $6 | Computerworld
36,Five Simple Steps to Protect Corporate Data - WSJ
37,The FCC warns Internet providers they’re on the hook now for user privacy - The Washington Post
38,DDoS: New Attacks Against Banks - BankInfoSecurity
39,Secret Service Investigating Breach At Michael's ...
40,Angry Birds Website Hacked Following Links to NSA Spying
41,Hotel Franchise Firm White Lodging Investigates Breach — Krebs on Security
42,Homeland Security Dept. Struggles to Hire Staff to Combat Cyberattacks - The New York Times
43,Hardware Scrambling – No More Password Leaks | Light Blue Touchpaper
44,Researcher who joked about hacking a jet plane barred from United flight | Ars Technica
45,Hactivists deface eBay and PayPal websites
46,Bell small-business customer information leaked by hackers | Toronto Star
47,"After data breach, Target develops high-security credit cards | ZDNet"
48,'Coding error' on NHS website redirected users to malicious sites | Computing
49,GameOver Zeus Now Using Encryption to Bypass Detection | Threatpost | The first stop for security news
50,Forget ski-jumping – Russians setting records in Sochi visitor hacking • The Register
51,Hacked Within Minutes: Sochi Visitors Face Internet Minefield - Video on NBCNews.com
52,Target Hackers Broke in Via HVAC Company — Krebs on Security
53,British spy unit reportedly hit Anonymous with DDoS attacks - CNET
54,Revolutionary new cryptography tool could make software unhackable - ExtremeTech
55,Email Attack on Vendor Set Up Breach at Target — Krebs on Security
56,Edward Snowden calls for public oversight of U.S. spy programs at SXSW - CNN
57,MobilityFirst FIA Overview
58,BT launches new service to tackle connected car security | ITProPortal
59,Anthem warns U.S. customers of email scam after data breach
60,Hacktivist Group Anonymous (#OpISIS) Takes Down Islamic State (ISIS) Social Media Accounts
61,Uncovering Security Flaws in Digital Education Products for Schoolchildren - The New York Times
62,State-sponsored agents likely to be behind sophisticated 'Mask' malware - Kaspersky | Computing
63,Largest Ever DDoS Cyber Attack Hits US and European Victims
64,Prolexic Issues High Alert Threat Advisory for DNS Flooder DDoS Attack Toolkit | news.sys-con.com
65,Bitcoin Exchanges Buckle Under DDoS Attacks
66,"NullCrew FTS hacks Comcast servers, post exploit and passwords | ZDNet"
67,"UPDATE 2-Financial services, retail groups form cyber partnership"
68,Up to 1.1 Million Customers Could be Affected in Data Breach at Insurer CareFirst - The New York Times
69,"In the wild: Phony SSL certificates impersonating Google, Facebook, and iTunes | Ars Technica"
70,"mSpy Denies Breach, Even as Customers Confirm It — Krebs on Security"
71,Errata Security: That NBC story 100% fraudulent
